data_referencia,interrupcoes,precipitacao_total_mm,temperatura_media,vento_velocidade_media_ms,vento_velocidade_max_ms,vento_rajada_max_ms,vento_dir_sin,vento_dir_cos,vento_direcao_media_circular_gr,n_dias
2019-04-01,1035,78.8,21.68988095238095,2.558928571428571,5.4,9.7,0.9997824192364234,-0.02085939082917895,91.19524174618728,7
2019-04-08,1336,30.4,21.452380952380953,1.4636904761904763,4.4,9.5,0.06887315134001165,0.9976254252095301,3.9492673322302023,7
2019-04-15,1348,202.0,21.297619047619044,1.4172619047619048,3.4,14.2,0.8841725585552745,-0.4671604506995639,117.85013255275838,7
2019-04-22,1301,68.8,21.66547619047619,1.3982142857142856,5.3,12.3,0.9999338764550694,0.011499683366860866,89.34110215439097,7
2019-04-29,1229,18.2,21.75714285714286,2.088690476190476,4.8,11.2,0.9882834381007746,-0.1526297676592362,98.77935632967564,7
2019-05-06,1049,67.0,21.679761904761904,1.9958333333333333,4.6,9.5,0.9807359861976988,-0.19533797730299976,101.2644679569659,7
2019-05-13,837,0.0,22.301190476190477,1.9833333333333332,3.9,8.7,0.9809740445899986,-0.19413892922528322,101.19442663112997,7
2019-05-20,948,1.4,19.933333333333334,1.8125,3.7,8.2,0.88271826151373,-0.4699026184117068,118.0279754717381,7
2019-05-27,918,0.0,20.89345238095238,1.6392857142857142,4.5,8.3,0.7998971147042425,-0.6001371558967399,126.87972134503948,7
2019-06-03,1202,8.0,21.256547619047616,1.6619047619047618,4.2,9.1,0.9903103963929754,-0.13887159103282443,97.98255535291041,7
2019-06-10,876,0.0,18.770238095238092,2.5154761904761904,5.0,9.1,0.8685851749823645,-0.4955399013206256,119.70535834323663,7
2019-06-17,860,0.0,19.157738095238095,2.9095238095238094,5.7,10.3,0.9675635844392684,-0.25262761145020324,104.63305534240315,7
2019-06-24,999,0.0,19.097619047619048,2.4285714285714284,6.0,11.3,0.9850214537690609,-0.17243182889097303,99.92924092892856,7
2019-07-01,810,0.0,19.69940476190476,2.2041666666666666,5.6,10.8,0.9610975656361227,0.27620910435450696,73.96591815293755,7
2019-07-08,1003,0.0,18.64702380952381,2.267261904761905,4.7,10.4,-0.24057016222171906,0.9706317515147626,346.0798057690956,7
2019-07-15,959,0.0,18.83154761904762,2.0339285714285715,4.4,8.6,0.9699433928761194,-0.2433306692876216,104.08320291208189,7
2019-07-22,942,0.0,18.882738095238096,2.892261904761905,5.3,9.8,0.9540598287796035,-0.2996161596260019,107.43455024707795,7
2019-07-29,930,0.0,18.723809523809525,2.8863095238095235,6.2,10.9,0.9956180837595153,-0.09351273330959183,95.36572462657607,7
2019-08-05,1179,0.0,20.917261904761904,2.3416666666666663,6.6,12.3,0.8301753856568935,-0.5575023130440161,123.88324143403429,7
2019-08-12,1045,0.0,20.53452380952381,2.892857142857143,5.9,12.3,0.9975374015893718,-0.07013652707629932,94.02182891665973,7
2019-08-19,1121,0.0,20.860714285714288,2.894642857142857,6.4,12.3,0.9672496412673189,-0.2538269715145396,104.70408882520984,7
2019-08-26,950,0.0,22.733928571428574,2.3232142857142857,4.9,9.0,0.9354707505249215,-0.353404124073758,110.69566849255567,7
2019-09-02,936,0.0,22.89047619047619,2.4345238095238098,5.2,9.9,0.9947858161506845,0.10198617546224871,84.14644519941706,7
2019-09-09,906,0.0,24.39981884057971,3.395419254658385,6.4,11.8,0.9969926187787369,0.07749656831574031,85.55531719627155,7
2019-09-16,961,0.0,25.502976190476186,2.8011904761904765,5.2,10.6,0.9984052980248738,0.05645228849092896,86.76380168537743,7
2019-09-23,1268,0.0,26.572809617918317,2.3667537172971955,6.4,11.8,0.8043494309388224,0.5941565390941957,53.5474729851282,7
2019-09-30,2275,10.200000000000001,22.506547619047616,2.345238095238095,5.6,10.6,0.8827730855165874,-0.4697996163126612,118.0212899838035,7
2019-10-07,1489,0.8,24.81845238095238,2.125,5.1,10.4,0.7967793944434819,0.604270300933513,52.823648452882345,7
2019-10-14,1358,4.0,24.310714285714283,2.644642857142857,5.3,12.5,0.9256796878366986,-0.3783082282036068,112.2289297226923,7
2019-10-21,1192,0.6000000000000001,25.76607142857143,2.232738095238095,5.5,9.9,0.9973263638964687,-0.07307615121945452,94.19069050787081,7
2019-10-28,2115,11.4,22.767857142857142,1.986904761904762,5.5,12.2,0.8649916772475057,0.5017862077544052,59.881754916853986,7
2019-11-04,1761,23.4,24.010119047619046,2.3255952380952385,4.6,17.8,0.997727042506451,-0.06738507736384004,93.8638084030326,7
2019-11-11,2427,24.799999999999997,23.91785714285714,1.8916666666666668,4.5,18.9,-0.5594857424278732,-0.8288399749167095,214.02024086298948,7
2019-11-18,1798,84.4,23.849999999999998,2.232738095238095,4.8,13.5,-0.4216387606234315,0.9067638918373055,335.0619073975307,7
2019-11-25,2451,74.60000000000001,20.64404761904762,1.7636904761904761,7.3,16.1,0.8289671808118126,0.5592972493557566,55.99278822476162,7
2019-12-02,2066,12.0,22.216666666666665,2.0273809523809523,5.5,16.6,-0.3435936207757945,0.9391184290397987,339.90403122657574,7
2019-12-09,2310,128.0,21.609523809523807,1.8529761904761906,4.7,11.5,-0.7633726402515458,0.6459583671688014,310.2375686309385,7
2019-12-16,2511,91.0,22.694047619047616,2.2529761904761907,4.9,17.5,0.839472784957405,-0.5434017328973643,122.91551117923748,7
2019-12-23,2373,34.2,22.65119047619047,2.0053571428571426,4.7,11.8,0.8044081008968779,-0.5940771054429537,126.44686896774697,7
2019-12-30,2049,4.6000000000000005,22.960714285714285,2.294047619047619,4.7,9.7,0.971100387789887,-0.2386713992801208,103.8081385400387,7
2020-01-06,2055,118.2,20.88809523809524,2.545238095238095,6.2,13.0,-0.6650432344208317,0.7468048582803133,318.31435769466316,7
2020-01-13,1659,15.8,23.110119047619044,1.8601190476190477,5.8,12.6,0.503451824644558,0.8640232984486387,30.228634859882547,7
2020-01-20,1798,6.4,24.030357142857145,1.9488095238095238,4.8,9.4,0.8889187726494538,-0.4580648596338608,117.26230675955273,7
2020-01-27,2527,174.8,20.59345238095238,3.208333333333333,6.1,15.3,-0.6104257060750741,0.7920735176501909,322.3797093459856,7
2020-02-03,1423,9.8,23.09047619047619,2.0142857142857147,5.7,11.1,0.9675711024618379,0.25259881567573483,75.36864983745426,7
2020-02-10,1624,107.2,20.2625,2.7624999999999997,6.8,13.4,-0.14925227406542782,0.9887991498207805,351.41640275615123,7
2020-02-17,1480,15.0,22.110119047619044,1.6815476190476188,4.5,10.0,0.3719318063321328,0.9282600559318044,21.83480621109958,7
2020-02-24,1348,47.8,22.251785714285713,1.6732142857142858,4.7,10.9,0.03673699467294448,0.9993249687776244,2.1053484933987012,7
2020-03-02,1451,29.8,21.33511904761905,1.6035714285714284,5.2,12.9,-0.3977392439049959,0.9174984980139652,336.5630764334636,7
2020-03-09,1390,106.6,21.124404761904763,1.793452380952381,4.3,10.8,0.05231630128890654,0.9986305646331121,2.9988723092068286,7
2020-03-16,1074,0.0,22.40892857142857,2.498214285714286,5.0,9.3,0.9798233898743508,0.19986526625488465,78.47091971689085,7
2020-03-23,1439,67.2,22.03690476190476,1.851190476190476,4.4,10.4,-0.2128395165721855,0.9770871712315736,347.7111927179935,7
2020-03-30,1328,97.8,20.76845238095238,2.494642857142857,4.7,10.4,0.9891013664999944,0.14723615991951067,81.53320821791975,7
2020-04-06,1146,10.6,23.53690476190476,1.8482142857142858,4.1,8.6,0.6643596794363291,0.7474130159016887,41.633220481690174,7
2020-04-13,1219,49.599999999999994,21.99642857142857,1.4613095238095237,3.6,9.5,0.8010103757012329,0.5986504639762418,53.226694732721995,7
2020-04-20,1250,47.8,20.469642857142855,2.4023809523809523,4.3,9.5,0.9899922024329116,-0.14112207170401442,98.11278089410028,7
2020-04-27,1169,71.80000000000001,20.026190476190475,2.4333333333333336,5.0,9.9,0.9929545158809296,-0.11849611551299351,96.80531707818884,7
2020-05-04,1039,0.0,19.7375,1.6839285714285714,3.8,8.2,0.9132288585153501,-0.40744699284048086,114.04455946318373,7
2020-05-11,971,0.0,19.269642857142856,2.104761904761905,4.6,8.7,0.9831813377776921,-0.18263202634167877,100.523105579952,7
2020-05-18,1509,29.0,19.565476190476186,1.782142857142857,4.2,8.3,0.9719495284271702,-0.23518952823244807,103.60279507393459,7
2020-05-25,1141,0.2,19.99642857142857,2.281547619047619,4.5,8.8,0.993639639566792,-0.11260669021677057,96.46560176819078,7
2020-06-01,1237,0.0,17.412499999999998,1.780357142857143,3.7,7.9,0.8981236653763383,-0.43974297230424403,116.08748291195154,7
2020-06-08,975,0.0,20.188095238095237,2.0476190476190474,5.4,8.6,0.9971880215664952,0.07494030720712982,85.70220749263963,7
2020-06-15,1093,0.0,19.542261904761904,2.1220238095238093,5.6,10.6,0.9974626105835558,-0.07119227828801201,94.08247060350794,7
2020-06-22,1329,0.0,18.15,3.060714285714286,7.1,12.3,0.989525642349147,-0.14435720672522068,98.30005823371118,7
2020-06-29,1138,0.0,19.075,2.0458333333333334,4.9,9.3,0.9991055827799533,-0.04228515647280632,92.42348358018334,7
2020-07-06,1180,0.0,19.224999999999998,2.0047619047619047,4.5,9.7,0.9936149193581937,0.11282460737272769,83.5218324201333,7
2020-07-13,1339,0.0,19.40297619047619,2.1488095238095237,5.7,11.0,0.9779165604338219,0.20899569571951299,77.93649605087926,7
2020-07-20,1344,0.0,18.851190476190474,2.9351190476190476,5.9,12.0,0.9971356243053641,-0.07563429606436349,94.33766831290069,7
2020-07-27,1024,0.0,19.182738095238097,2.6345238095238095,5.1,12.5,0.9996985069711968,0.02455392350643642,88.59302241177372,7
2020-08-03,1143,0.0,19.12738095238095,3.1154761904761905,6.7,13.0,0.9883794194116058,-0.1520069843249875,98.74325219053304,7
2020-08-10,1018,0.0,17.78154761904762,3.414285714285714,5.7,13.2,0.9935475072159874,-0.11341671351655948,96.51231192721109,7
2020-08-17,1075,0.0,22.10892857142857,2.098809523809524,4.4,8.0,0.9023017724548502,0.43110498886563087,64.4622940316234,7
2020-08-24,1061,0.0,21.650595238095235,2.500595238095238,4.6,9.8,0.9509770226530513,-0.30926154365833797,108.01473332773277,7
2020-08-31,950,0.0,21.19345238095238,2.6898809523809524,4.7,9.5,0.9876521116924322,-0.1566630341512616,99.01325953236619,7
2020-09-07,933,0.0,22.433333333333334,2.9916666666666667,5.3,11.5,0.9994902516833203,-0.03192548809357688,91.82950659985906,7
2020-09-14,851,0.0,23.53333333333333,2.773809523809524,5.4,11.5,0.9986646718201256,0.05166113876407274,87.0387165715321,7
2020-09-21,1884,25.4,24.418452380952377,2.0589285714285714,5.5,12.9,0.899858815906254,0.43618128276645973,64.13951541939508,7
2020-09-28,1810,4.4,22.86785714285714,2.298809523809524,4.4,9.1,0.9553570260025098,-0.29545380834851265,107.18475169450446,7
2020-10-05,1236,0.0,26.92797619047619,2.561904761904762,5.6,11.8,0.9970886100563482,0.07625158159605368,85.62686139847142,7
2020-10-12,2288,0.0,26.208333333333332,2.219642857142857,6.1,14.0,0.04954531639020232,0.9987718766684386,2.8399002015787196,7
2020-10-19,2336,78.2,23.176190476190474,2.3267857142857147,5.9,11.9,0.9964723880107308,-0.08392127222696004,94.81399667979608,7
2020-10-26,2418,48.4,20.917261904761908,2.380952380952381,5.1,11.3,0.7287565836769883,0.6847728395223083,46.782255116387,7
2020-11-02,1704,50.599999999999994,21.16785714285714,1.926785714285714,4.8,12.0,-0.5280265229079237,0.8492278793738273,328.1277883458647,7
2020-11-09,1676,90.6,22.069047619047616,1.924404761904762,4.3,13.7,0.7850487264018033,0.6194340135760278,51.7251850827593,7
2020-11-16,1832,66.0,21.617261904761904,1.6178571428571427,4.8,11.0,-0.3866329607688958,0.9222336762703244,337.2548460600464,7
2020-11-23,1496,60.2,21.625,2.310714285714286,5.3,10.8,-0.24727868994183075,0.9689443995919744,345.6834626895444,7
2020-11-30,1414,1.2,21.469642857142855,3.1654761904761903,5.0,10.1,0.9972721301048671,0.07381259049851063,85.76700036498694,7
2020-12-07,2282,11.200000000000001,23.23154761904762,1.8821428571428573,4.5,12.5,0.07554368585473412,0.9971424930908728,4.332461834883712,7
