data_referencia,interrupcoes,precipitacao_total_mm,temperatura_media,vento_velocidade_media_ms,vento_velocidade_max_ms,vento_rajada_max_ms,vento_dir_sin,vento_dir_cos
2020-11-01,6743,226.0,21.602777777777774,2.2280555555555557,5.3,13.7,0.7454274149479067,0.6665868053330201
2020-12-01,8594,154.6,22.443817204301077,1.9862903225806452,6.5,12.5,0.4629556418264996,0.8863814493213482
2021-01-01,8237,261.6,22.273118279569893,1.9880376344086022,7.0,19.6,0.9753513295336329,0.2206576170835143
2021-02-01,10049,539.4,20.863988095238092,1.9616071428571427,6.6,15.2,-0.2342961012218519,0.9721652827334659
2021-03-01,8008,160.8,21.71478494623656,1.9724462365591398,6.1,19.5,0.9090128676728354,0.4167680486856069
2021-04-01,6730,121.8,20.720555555555556,1.9580555555555557,6.1,12.0,0.9620898246819488,-0.2727327799210373
2021-05-01,6057,4.0,19.941935483870967,1.8314516129032257,5.0,9.6,0.9698137892879185,-0.24384670206301498
2021-06-01,6873,29.6,19.32125,2.0168055555555555,6.2,12.1,0.9444290814993556,-0.3287152415363239
2021-07-01,6228,0.0,18.42231182795699,2.144758064516129,5.3,11.6,0.9452459763336023,-0.32635876612270603
2021-08-01,6469,2.8000000000000003,20.922224170172978,2.625940860215054,6.2,11.2,0.9827421513414388,-0.18498071244538014
2021-09-01,7343,12.6,24.85097222222222,2.229444444444445,5.8,13.4,0.9855725688911873,0.1692533942029702
2021-10-01,10334,157.8,23.1625,2.241263440860215,5.6,12.6,0.7182524738728663,0.695782569324288
2021-11-01,12059,341.8,21.298888888888886,2.1468055555555554,6.4,13.1,-0.13023674070164096,0.9914829254058859
2021-12-01,11332,391.0,21.19260752688172,2.1185483870967743,6.5,12.5,-0.14892005863573624,0.9888492383249982
2022-01-01,8949,133.6,21.455645161290324,2.529301075268817,6.0,12.3,0.18276202986193013,0.9831571799263569
2022-02-01,8658,235.79999999999998,21.316666666666666,2.061607142857143,5.2,12.9,0.191644180858409,0.9814644710549177
2022-03-01,9410,121.60000000000001,22.154301075268815,1.9961021505376342,8.1,21.0,0.9790720225173054,0.2035140651745549
2022-04-01,7177,23.400000000000002,22.334166666666665,2.1155555555555554,5.1,10.6,0.9631080345013969,-0.2691150569530737
2022-05-01,7432,14.6,19.58991935483871,2.0856182795698923,5.6,10.3,0.9799807679910197,-0.19909217555627626
2022-06-01,6419,0.0,19.538194444444443,2.040138888888889,4.8,9.4,0.9135940996048435,-0.40662737385377207
2022-07-01,6820,0.0,19.384139784946235,2.4397849462365593,6.4,11.0,0.9953146175851625,-0.09668925494232396
2022-08-01,7487,0.0,21.149193548387096,2.5204301075268813,6.6,13.3,0.9922772065728892,-0.12404009559776934
2022-09-01,9839,40.4,22.90513888888889,2.363611111111111,5.4,15.7,0.9698121588763976,0.24385318635502995
2022-10-01,9527,35.4,23.68037634408602,2.4298387096774197,5.6,13.5,0.9267876907936796,0.3755856442854528
2022-11-01,15336,428.40000000000003,20.65736111111111,2.1518055555555557,5.5,14.7,0.19134842619617223,0.9815221748856457
2022-12-01,11301,323.2,20.815725806451614,2.233198924731183,5.3,13.0,-0.1980232301719604,0.9801973272317481
2023-01-01,10117,190.8,21.033602150537632,2.054301075268817,7.2,14.4,-0.03155701297542528,0.9995019534408469
2023-02-01,8517,55.0,22.744642857142853,1.8779761904761905,5.3,11.7,0.9971541469084326,0.0753897028997714
2023-03-01,8508,135.2,21.553897849462366,1.8240591397849462,5.5,11.1,0.9918080676367089,-0.1277370618526093
2023-04-01,8078,187.2,21.026944444444442,1.96125,7.7,16.7,0.9402941232941086,-0.3403629852063289
2023-05-01,6360,1.8,20.026881720430104,1.819220430107527,4.6,9.0,0.8801386106455716,-0.47471678509494786
2023-06-01,6372,2.1999999999999997,19.254305555555554,1.9633333333333334,4.8,10.5,0.9409234861746871,-0.3386192451188702
2023-07-01,6763,0.0,19.69852150537634,2.1442204301075267,6.3,12.4,0.9715937735112772,-0.23665489488729582
2023-08-01,9027,37.6,21.766972140762462,2.197235857877513,6.1,12.0,0.9948641200471958,-0.10121947758568405
2023-09-01,8108,30.0,24.379444444444445,2.2443055555555556,5.9,11.1,0.9927945272568615,0.11982915608826188
2023-10-01,12940,126.2,24.512780504908836,1.9831697054698458,5.5,20.0,0.8130930899326609,0.5821336849073053
2023-11-01,12097,104.2,24.26375,2.0702777777777777,6.4,15.3,0.9997530356566148,-0.02222313423852532
2023-12-01,10913,125.8,23.33212365591398,1.9923387096774194,5.0,14.8,0.6553404300778619,0.7553336485986593
2024-01-01,10467,319.6,22.133870967741935,1.8646505376344087,5.4,12.7,-0.4903872808628646,0.8715046269343186
2024-02-01,9002,105.6,22.179310344827584,2.064655172413793,5.5,17.0,0.5927147000276222,0.8054124933046207
2024-03-01,9064,117.39999999999999,22.843834735857875,1.6862494156147732,4.7,11.6,0.6693605445910691,0.7429377237324455
2024-04-01,7128,130.4,22.59138888888889,2.0470833333333336,4.9,9.6,0.9997319804343864,0.023150967511957176
2024-05-01,5871,0.0,21.344086021505376,2.094378214118747,5.4,9.4,0.952345906915687,-0.3050201199608602
2024-06-01,5621,0.0,19.61788757136583,2.11719751866491,5.0,10.0,0.9987109047724932,-0.05075951820602639
2024-07-01,5874,0.0,19.775503102554293,2.177337540906966,5.2,15.3,0.9989220477936136,-0.046419203265602525
2024-08-01,7013,0.0,21.27621552127162,2.465217391304348,5.5,10.6,0.97035061597162,-0.2417016385618796
2024-09-01,7031,0.0,24.977228260869563,2.630018115942029,5.9,12.9,0.9978014709201789,0.06627386083160808
2024-10-01,13977,268.8,23.30969495091164,2.0842332865825153,7.5,18.9,0.9380061977970845,0.3466184831976747
2024-11-01,10648,242.2,21.586944444444445,2.0145833333333334,6.0,12.0,0.26549194526378433,0.964113077911534
2024-12-01,11915,214.6,22.12178588125292,1.7991467975689575,5.4,15.3,-0.17056122837880205,0.9853470796495589
2025-01-01,12047,198.6,21.821143057503505,2.0747545582047686,6.1,13.0,-0.4892803662743879,0.8721265522723183
2025-02-01,8011,97.8,22.7868400621118,2.2405732401656313,5.8,11.0,0.9877948260942214,0.1557606546644143
2025-03-01,9993,120.8,22.816801075268817,2.068203599812997,5.2,11.1,0.9986908907830637,-0.0511517806819145
2025-04-01,8614,78.2,22.090386473429948,1.8346376811594203,5.8,10.5,0.9846825047590574,-0.17435700393568604
2025-05-01,7142,1.5999999999999999,20.059841047218328,2.3995967741935487,5.7,10.9,0.9753764160853035,-0.2205467001444118
