data,temperatura_media,precipitacao_total_mm,vento_velocidade_media_ms,vento_velocidade_max_ms,vento_rajada_max_ms,vento_direcao_media_circular_gr,vento_dir_sin,vento_dir_cos,n_registros
2018-12-07,22.108333333333334,1.6,1.9291666666666665,5.4,13.5,20.268665712895448,0.3464226809403325,0.9380785287651096,24
2018-12-08,20.025000000000002,61.199999999999996,1.9583333333333333,3.0,10.2,320.5348584274618,-0.6356086505641607,0.7720114269413418,24
2018-12-09,19.395833333333332,10.4,3.1291666666666664,4.8,9.6,72.22294041948898,0.9522517124965856,0.3053140613324583,24
2018-12-10,19.120833333333334,0.0,3.045833333333333,4.4,7.7,67.31934885060646,0.9226683577638097,0.3855944781521574,24
2018-12-11,21.204166666666666,0.0,3.2541666666666664,4.4,8.6,79.48101899633515,0.9831944824415559,0.18256124916444072,24
2018-12-12,21.854166666666668,0.0,2.529166666666667,4.0,8.3,57.15955502152198,0.8401840033395502,0.5423014295872053,24
2018-12-13,20.991666666666667,0.0,2.245833333333333,3.8,8.4,63.58605743178233,0.8956035345409231,0.4448531318511827,24
2018-12-14,22.566666666666666,0.0,2.0458333333333334,3.5,8.4,65.94927666106022,0.9131850201132404,0.40754523557610217,24
2018-12-15,22.258333333333336,0.4,2.033333333333333,4.6,10.6,118.48792045967211,0.8789176914384625,-0.47697347062125334,24
2018-12-16,22.8125,0.0,2.1666666666666665,3.9,8.3,81.50195080631622,0.9890208954024876,0.14777573703846578,24
2018-12-17,23.516666666666666,0.0,2.504166666666667,4.5,8.3,68.22907038038467,0.9286741296930273,0.3708966983391716,24
2018-12-18,23.65416666666667,0.0,2.1166666666666667,3.3,6.4,76.31375202360013,0.9716059374518755,0.2366049498811515,24
2018-12-19,24.1125,0.0,1.6416666666666666,3.3,7.3,97.29459242247856,0.9919064305341818,-0.12697099300603384,24
2018-12-20,24.412499999999998,0.0,1.875,3.7,7.0,62.76296198893123,0.8891207032689983,0.4576727816010497,24
2018-12-21,24.45,0.0,1.625,2.6,8.1,76.26407580431243,0.9714004325872232,0.23744725639466865,24
2018-12-22,22.770833333333332,11.2,2.0,3.9,9.8,205.19168168320454,-0.4256479224624008,-0.9048888584259627,24
2018-12-23,21.191666666666666,23.2,2.1333333333333333,3.5,9.3,169.0153590700678,0.1905458473149819,-0.9816782976469509,24
2018-12-24,20.712500000000002,8.0,1.6833333333333333,2.8,9.9,304.9729223220742,-0.8194230219476435,0.5731892454523129,24
2018-12-25,21.1875,0.0,1.7083333333333333,4.4,8.3,289.3001476694637,-0.9438000997392867,0.33051682518763303,24
2018-12-26,22.166666666666668,1.0,1.3041666666666667,2.7,6.8,291.09252410364957,-0.9330004989093291,0.3598750742062347,24
2018-12-27,21.379166666666666,24.799999999999997,1.7249999999999999,5.3,12.8,346.80222219734037,-0.22831311001197305,0.9735877586518129,24
2018-12-28,20.866666666666667,1.4,1.4833333333333334,3.1,7.5,304.73412155709843,-0.8218048702230076,0.5697690367839812,24
2018-12-29,21.099999999999998,5.0,2.8541666666666665,5.1,10.6,315.0972440844134,-0.7059056408672787,0.7083058846231313,24
2018-12-30,22.504166666666666,0.0,2.5749999999999997,4.4,9.3,313.6602698103126,-0.723446045550572,0.690380923242553,24
2018-12-31,21.358333333333334,33.0,1.9625000000000001,3.7,9.3,321.3101909756094,-0.6251038343502445,0.7805416044520765,24
2019-01-01,20.520833333333332,1.4,1.5916666666666668,3.3,6.7,45.447259766859744,0.7126049666046903,0.7015655076828737,24
2019-01-02,22.71666666666667,0.0,2.0708333333333333,4.2,8.3,99.74471363618373,0.985571679802686,-0.16925857133661362,24
2019-01-03,24.34166666666667,0.0,2.1083333333333334,3.4,7.0,65.47316339332552,0.9097669340824154,0.4151194113147229,24
2019-01-04,23.425,0.0,1.8333333333333333,3.5,7.9,34.28564414196084,0.5633190465490995,0.8262394639540124,24
2019-01-05,20.866666666666667,1.0,1.25,2.8,12.0,134.87561974280285,0.7086401330664276,-0.7055700970191379,24
2019-01-06,22.22083333333333,0.0,2.1958333333333333,3.9,7.5,15.812848097202188,0.27249600949431374,0.962156912779654,24
2019-01-07,22.670833333333334,9.6,1.9333333333333333,5.7,10.8,29.010508247695014,0.484970020425435,0.8745307766388516,24
2019-01-08,23.425,0.0,2.475,4.5,8.6,82.4614062204917,0.9913567155154859,0.13119398843829733,24
2019-01-09,22.7625,0.0,3.2125,6.6,10.8,79.70402062638574,0.9838975826290277,0.17873317234569427,24
2019-01-10,21.2,2.6,2.4291666666666667,4.4,9.4,84.5275119970736,0.9954421063399431,0.0953677771865174,24
2019-01-11,19.933333333333334,6.0,1.9000000000000001,3.7,6.5,104.42768388975355,0.9684628873288272,-0.24915785331133197,24
2019-01-12,21.333333333333332,0.6000000000000001,1.7874999999999999,4.0,7.6,162.64213436326915,0.29833897899442174,-0.9544599801000385,24
2019-01-13,22.34166666666667,0.0,2.2583333333333333,4.1,7.5,99.65879505844768,0.9858243853205718,-0.16778045567740255,24
2019-01-14,23.454166666666666,0.0,2.3125,4.2,8.8,91.28508014463982,0.9997484832223958,-0.022426999231257173,24
2019-01-15,23.504166666666666,0.0,1.8541666666666667,3.9,7.3,74.23306166144064,0.9623749485171365,0.27172496842697214,24
2019-01-16,24.02916666666667,0.0,1.9124999999999999,3.7,8.3,75.5303589897901,0.9682801718981208,0.2498669820303308,24
2019-01-17,23.425,0.0,2.183333333333333,4.3,8.4,115.90721130592298,0.8995027955066354,-0.43691500417787016,24
2019-01-18,22.491666666666664,0.0,2.091666666666667,3.6,8.9,144.59618063152794,0.5793355079269926,-0.8150891787129636,24
2019-01-19,23.308333333333334,7.2,2.029166666666667,3.9,8.8,117.22978680151769,0.8891786180629644,-0.4575602530592414,24
2019-01-20,23.820833333333336,0.2,1.4791666666666667,3.2,6.8,104.57771553804827,0.9678071364445093,-0.2516929610598574,24
2019-01-21,24.454166666666666,0.0,2.029166666666667,3.8,8.5,129.93459129261257,0.7667777483899453,-0.641912676751321,24
2019-01-22,25.212500000000002,0.0,2.4833333333333334,4.1,8.5,113.84080906950686,0.9146720095952054,-0.4041968763648085,24
2019-01-23,25.65833333333333,0.0,2.5749999999999997,4.0,8.3,98.72022303316409,0.9884404364423925,-0.15160970815080593,24
2019-01-24,25.045833333333334,0.0,2.3333333333333335,3.6,7.5,95.94935738853326,0.9946138975246508,-0.10364938422790235,24
2019-01-25,22.495833333333334,0.0,2.2333333333333334,4.8,11.0,331.733756165603,-0.47356938807741766,0.8807565127071046,24
2019-01-26,20.354166666666668,15.0,1.9541666666666666,3.4,7.6,90.54457148705796,0.9999548319577221,-0.009504422360340773,24
2019-01-27,19.8625,1.0,2.425,3.9,8.3,107.00072103670685,0.9563010765459541,-0.2923837392828971,24
2019-01-28,22.945833333333336,0.0,3.079166666666667,5.4,11.3,101.22981766333862,0.9808539397742134,-0.19474483004537932,24
2019-01-29,23.754166666666666,0.0,2.8375,4.7,9.4,106.30819027559426,0.9597651616275912,-0.2808039076045126,24
2019-01-30,23.958333333333332,0.0,2.6958333333333333,4.4,8.5,109.66049248749417,0.9417027603520329,-0.33644600034085925,24
