data_referencia,interrupcoes,vento_velocidade_media_ms,vento_velocidade_max_ms,vento_rajada_max_ms,vento_direcao_media_gr,vento_direcao_moda_gr,n_dias
2018-07-30,921,2.5267857142857144,8.8,14.6,96.47023809523809,85.0,7
2018-08-06,1068,1.605952380952381,5.9,11.5,183.65238095238095,26.0,7
2018-08-13,1159,2.0064285714285712,9.0,14.4,168.39166666666665,59.0,7
2018-08-20,1388,2.413452380952381,8.1,16.1,118.21428571428571,18.0,7
2018-08-27,873,2.6780342136854745,8.6,14.5,112.68102240896359,51.0,7
2018-09-03,1029,2.9336904761904763,9.8,17.2,100.36190476190475,39.0,7
2018-09-10,778,2.734429181929182,7.5,13.2,136.06150793650792,82.0,7
2018-09-17,1308,2.3220238095238095,6.1,17.8,122.83095238095237,39.0,7
2018-09-24,1513,2.124988995598239,9.1,14.1,129.6673369347739,30.0,7
2018-10-01,984,2.0716666666666668,5.8,12.8,140.1797619047619,7.0,7
2018-10-08,1146,2.059420768307323,6.7,15.2,148.97138855542218,11.0,7
2018-10-15,1182,1.88327831132453,6.6,11.6,162.1235494197679,15.0,7
2018-10-22,1699,2.004376343757842,6.1,13.5,147.1834749153899,36.0,7
2018-10-29,1930,1.964018607442977,6.2,17.9,174.5970588235294,13.0,7
2018-11-05,1749,1.8543187274909965,7.4,22.4,171.22298919567828,17.0,7
2018-11-12,1475,1.8983502401395154,5.7,14.8,151.33459129849243,15.0,7
2018-11-19,1569,1.9222167171953528,7.4,14.2,143.49486302995777,42.0,7
2018-11-26,1301,2.191826020556671,7.7,16.5,145.84823083079385,38.0,7
2018-12-03,1167,2.7796808723489397,9.4,16.1,190.06765706282513,10.0,7
2018-12-10,1561,2.131196410767697,7.6,15.5,180.16771946066564,34.0,7
2018-12-17,1133,2.3459063625450183,6.4,11.9,94.3764105642257,29.0,7
2018-12-24,1911,1.799818401937046,6.2,23.3,154.00403551251006,23.0,7
2018-12-31,1810,1.7621924015151476,6.2,13.0,222.91825405955515,8.0,7
2019-01-07,1543,1.7297619047619048,6.4,16.6,142.96428571428572,22.0,7
2019-01-14,1559,2.1857142857142855,7.8,17.6,131.72976190476192,39.0,7
2019-01-21,1281,1.912229556285571,6.1,11.8,145.71304985463502,19.0,7
2019-01-28,1558,2.322114200509438,7.4,17.2,132.48277095445548,56.0,7
2019-02-04,1381,2.339345176769623,8.4,13.7,134.0037073378142,63.0,7
2019-02-11,2180,1.744092637054822,7.2,17.2,153.23498399359747,26.0,7
2019-02-18,1464,1.9895115414586886,6.7,13.6,235.00101040416166,74.0,7
2019-02-25,1704,1.8136904761904762,7.6,20.9,181.87619047619046,59.0,7
2019-03-04,1294,1.6122926937908544,5.7,14.9,185.13573966801164,6.0,7
2019-03-11,1316,1.97545343192546,6.6,16.2,145.02954948375813,27.0,7
2019-03-18,1500,1.5237732041969332,5.4,18.6,174.89721549636803,59.0,7
2019-03-25,1464,1.8755862344937975,7.9,14.0,163.922018807523,81.0,7
2019-04-01,1035,2.248671468587435,5.6,11.2,106.67983193277311,47.0,7
2019-04-08,1336,1.3757543017206884,8.6,16.3,180.8468987595038,9.0,7
2019-04-15,1348,1.3908333333333334,5.1,14.2,162.0452380952381,96.0,7
2019-04-22,1301,1.431358543417367,5.3,19.5,171.42906162464988,10.0,7
2019-04-29,1229,2.0448809523809524,8.7,15.6,129.68928571428572,46.0,7
2019-05-06,1049,1.924047619047619,5.5,12.3,132.3738095238095,9.0,7
2019-05-13,837,1.8684523809523808,6.1,10.4,116.05119047619048,47.0,7
2019-05-20,948,1.6764285714285714,5.4,10.8,142.2345238095238,25.0,7
2019-05-27,918,1.6460714285714286,5.7,11.1,152.33571428571426,73.0,7
2019-06-03,1202,1.7439285714285713,5.1,11.2,124.10000000000001,45.0,7
2019-06-10,876,2.560830280830281,9.9,14.6,122.99142246642246,78.0,7
2019-06-17,860,2.837595038015206,7.2,14.6,102.5984593837535,94.0,7
2019-06-24,999,2.4466666666666663,6.9,12.5,107.3047619047619,41.0,7
2019-07-01,810,2.193690476190476,9.1,15.9,109.40833333333333,17.0,7
2019-07-08,1003,2.245,6.2,13.1,186.6654761904762,49.0,7
2019-07-15,959,2.156190476190476,7.4,11.9,106.89047619047619,82.0,7
2019-07-22,942,2.891785714285714,10.2,16.6,114.1452380952381,7.0,7
2019-07-29,930,2.8014346764346763,7.8,14.7,92.08406593406593,104.0,7
2019-08-05,1179,2.4411904761904766,12.7,20.3,121.03928571428571,31.0,7
2019-08-12,1045,2.84226901016817,8.8,19.0,87.53588589281867,70.0,7
2019-08-19,1121,3.0230502200880354,10.8,17.0,99.549899959984,87.0,7
2019-08-26,950,2.386904761904762,9.0,14.8,117.59404761904761,87.0,7
2019-09-02,936,2.6013095238095234,8.7,13.4,97.50595238095238,42.0,7
2019-09-09,906,3.1959303721488594,8.6,15.1,84.02318927571028,49.0,7
2019-09-16,961,2.7917857142857145,8.7,14.2,87.0202380952381,64.0,7
2019-09-23,1268,2.3505505379721976,7.8,16.8,117.02039825275905,17.0,7
2019-09-30,2275,2.335,6.9,13.7,142.77857142857144,50.0,7
2019-10-07,1489,2.0947303536799335,8.0,15.7,149.68494372107816,1.0,7
2019-10-14,1358,2.686148595031233,9.1,15.9,118.88899288528971,36.0,7
2019-10-21,1192,2.276895142672454,7.7,12.5,128.07368489768788,8.0,7
2019-10-28,2115,1.956517674866557,8.8,20.0,141.70937071047456,28.0,7
2019-11-04,1761,2.275015223911553,6.5,17.8,151.50941060089374,26.0,7
2019-11-11,2427,1.9157241201565374,7.2,18.9,177.35502116100676,53.0,7
2019-11-18,1798,2.1240556900726393,8.9,16.1,172.02114867241986,47.0,7
2019-11-25,2451,1.8318245601077279,7.5,17.1,162.76403844548207,38.0,7
2019-12-02,2066,1.940357142857143,6.2,16.6,187.13851540616247,13.0,7
2019-12-09,2310,1.706118000342348,7.9,16.0,200.20135110706207,46.0,7
